Refcode,metals,max_metal_coordination_n,metal_sbu_smile,linker_smile,n_sbu_point_of_extension,n_linker_point_of_extension,metal_cluster_smile,ligand_smile,n_channel,void_fraction,asa (A^2),av (A^3),pld (A),lcd (A),lfpd (A)
UQAMIJ,Zn,6,[Zn](ON(=O)=O)[O].N(=O)[O],N1=C[N]N([CH]1)CCOCCn1ncnc1,4,2,[Zn](ON(=O)=O)[O].N(=O)[O],N1=C[N]N([CH]1)CCOCCn1ncnc1,1,0.2138,211.801,260.873,6.72141,7.67791,7.67791
OHIXUA02,Cd,6,[Cd].O.O,n1cn(cc1)c1nc(ccc1)n1cncc1,4,2,[Cd].O.O,n1cn(cc1)c1nc(ccc1)n1cncc1,0,0,0,0,2.19012,3.63211,3.63211
JUKVEQ,Zn,4,[Zn](O[C]=O)O[C]=O,N1=CC=[C]C=C1,4,2,[Zn],n1ccc(C(=O)[O])cc1,0,0,0,0,1.08017,2.37516,2.37516
OTABES,In,6,[O].[C]=O.[In]1(O[In]([O])O[C]O1)O[C]=O.[O].[C]=O,[C]1=CC=C(C=C1)/C/1=c\2/[nH]/c(=C(\C3=N/C(=C(\c4ccc(/C(=C\5/C=CC1=N5)/C1=CC=[C]C=C1)[nH]4)/C1=CC=[C]C=C1)/C=C3)/C1=CC=[C]C=C1)/cc2,4,4,[In]O[In][O],O=C(c1ccc(/C/2=c\3/[nH]/c(=C(\C4=N/C(=C(\c5ccc(/C(=C\6/C=CC2=N6)/c2ccc(C(=O)[O])cc2)[nH]5)/c2ccc(C(=O)[O])cc2)/C=C4)/c2ccc(C(=O)[O])cc2)/cc3)cc1)[O],1,0.1196,828.034,478.084,5.6809,7.84703,6.67782
FICGEG,U,11,[U]1([O])(O[C]O1)(O[C][O])(O[C][O])[O],[CH]1CCN(C2=[N]=C(N3CC[CH]CC3)N=C(N3CC[CH]CC3)[N]2)CC1,3,3,[U]([O])[O],C(=O)([C@@H]1CCN(C2=[N]=C(N3CC[C@@H](C(=O)[O])CC3)N=C(N3CC[C@H](C(=O)[O])CC3)[N]2)CC1)[O],1,0.4598,594.778,1214.71,10.30402,14.18892,14.18892
BUKLOJ01,Co,6,[C](O[Co](O[C])(O[C])O[C]O[Co]([O])[O])[O].O.O.O.O,[C]1=CC=[C]C=C1,4,2,[Co].O.O,c1(ccc(cc1)C(=O)[O])C(=O)[O],0,0,0,0,0.97855,1.76259,1.76259
SUCMEL,Cd,6,[Cd](O[C]=O)O[C]=O,[CH](n1nc(nn1)c1cnccc1)C,4,2,[Cd],[O]C(=O)[C@H](n1nc(nn1)c1cnccc1)C,0,0,0,0,1.13914,2.14765,2.14765
WESNIS,Co,6,[Co]O[N][O],n1ccncc1,4,2,[Co]O[N][O],n1ccncc1,0,0,0,0,2.59668,4.00866,4.00866
NUJHUY,Na,6,[Na]O[S@]([N]S(=O)(=O)F)(F)[O].O=S(=O)([N][S@@]([O])(F)O[Na])F,S1(=O)(=O)CCCC1,8,2,[Na]O[S@]([N]S(=O)(=O)F)(F)[O].O=S(=O)([N][S@@]([O])(F)O[Na])F,S1(=O)(=O)CCCC1,1,0.1732,390.052,394.166,6.64382,7.85304,7.85304
SOXRIG01,Ag,6,[Ag]1(O[C]=O)([Ag](O[C]=O)O[C]O1)O[C]=O,[C]1=CN([CH]C=C1)[CH2],4,2,[Ag][Ag],O=C(C1=CN([CH]C=C1)CC(=O)[O])[O],0,0,0,0,0.75518,2.54115,2.54115
