Refcode,metals,max_metal_coordination_n,metal_sbu_smile,linker_smile,n_sbu_point_of_extension,n_linker_point_of_extension,metal_cluster_smile,ligand_smile,n_channel,void_fraction,asa (A^2),av (A^3),pld (A),lcd (A),lfpd (A)
YIKMUA,Cu,6,[Cu](O)[O].[Cu]O.O.[H].[H],n1cccnc1c1ncccn1,4,4,[Cu](O)[O].[Cu]O.O.[H].[H],n1cccnc1c1ncccn1,0,0,0,0,2.45484,3.61879,3.61879
NULQET,Cu,4,[Cu],c1(cc(C2=CN=N[N]2)cc(C2=CN=N[N]2)c1)C1=NN=N[CH]1,4,6,[Cu],c1(cc(C2=CN=N[N]2)cc(C2=CN=N[N]2)c1)C1=NN=N[CH]1,1,0.2908,6433.73,14814.3,9.4717,15.59724,15.59724
UGEVAF,Na,10,Clc1n2[B](F)(N3C(=O)C=CC3=C(c2cc1)c1ccc(cc1)C)F.[Na].[Na]O[C]OCC.O=C1N2[B](F)(F)n3c(ccc3Cl)C(=C2C=C1)c1ccc(cc1)C.[Na].O=C1N2C(=C(c3ccc(Cl)n3[B]2(F)F)c2ccc(cc2)C)C=C1.[Na]O[C]OCC.O=C1N2[B](F)(F)n3c(C(=C2C=C1)c1ccc(cc1)C)ccc3Cl,[CH3],10,1,Clc1n2[B](F)(F)n3c(O[Na])ccc3[C](c2cc1)c1ccc(cc1)C.[Na].[Na]Oc1n2[B](F)(F)n3c([C](c2cc1)c1ccc(cc1)C)ccc3Cl.[Na].[B]1(N2C(=O)C=CC2=C(c2n1c(cc2)Cl)c1ccc(cc1)C)(F)F.F[B]1(N2C(=O)C=CC2=C(c2ccc(Cl)n12)c1ccc(cc1)C)F,O=C(OCC)C,0,0,0,0,1.08279,2.66617,2.36088
WAQCEY,Cu,6,[Cu].[Cl].[Cl],c1nn(cn1)Cc1cc(Cn2ncnc2)ccc1,4,2,[Cu].[Cl].[Cl],c1nn(cn1)Cc1cc(Cn2ncnc2)ccc1,0,0,0,0,1.24343,2.36034,2.28926
SOXXOV,Ag,3,[Ag],n1ccc(C(=O)Oc2cccc(c2OC(=O)c2ccncc2)OC(=O)c2ccncc2)cc1,3,3,[Ag],n1ccc(C(=O)Oc2cccc(c2OC(=O)c2ccncc2)OC(=O)c2ccncc2)cc1,1,0.058,438.076,206.688,4.28397,7.13345,6.81746
CEMPUH,U,14,[U]1(O[C]O[U](O[S@](=O)[O])([O])(O[U]([O])(O[S@](=O)[O])([O])(O1)[O])[O])(O[C])([O])[O],[C]1=[C]C=CC=C1,6,1,[U](=O)(O[U]([O])(O[U](=O)[O])[O])[O],O=C(c1c(S([O])([O])[O])cccc1)[O],0,0,0,0,3.06906,4.48945,4.30784
WIKGAB,Th,12,[Th]12(O[C][O])(O[C]O[Th](O[C]=O)(O[C]O1)(O[C]O2)(O[C]=O)O[C])(O[C]=O)O[C]O[Th]12(O[C]O[Th](O[C]=O)([O])(O[C]O1)O[C]O2)(O[C]=O)O[C]=O.[O][C]=O,[C]1=CC=C2C=[C]C=CC2=C1,16,2,[Th][Th],[O]C(=O)c1cc2ccc(C(=O)[O])cc2cc1,0,0,0,0,2.08213,3.7313,3.72563
SAYPAM02,Cu,4,I[Cu]I.[Cu],n1ccccc1,4,1,I[Cu]I.[Cu],n1ccccc1,1,0.5946,260.599,1387.6,20.04477,20.39505,20.39505
VABNES,Ag,4,[Ag],N#CCCCCCC#N,4,2,[Ag],N#CCCCCCC#N,1,0.0844,245.82,85.5863,4.11055,5.23217,4.92357
DEYYEM,Pb,6,[Pb](Cl)([O])([O])Cl,n1ccc(c2ccncc2)cc1,2,2,[Pb](Cl)Cl,[O-][n+]1ccc(c2cc[n+](cc2)[O-])cc1,1,0.1988,245.449,245.44,5.74865,6.30982,6.15751
REWGUV,Pr,9,[Pr]([O])([O])([O])([O])([O])[O].[O].Cl[O].[O].[O],[C]1N(Cc2ccc(CN3[C]CCC3)cc2)CCC1,6,2,[Pr]([O])[O].Cl[O].[O],O=C1N(Cc2ccc(CN3C(=O)CCC3)cc2)CCC1,0,0,0,0,1.84169,5.36081,5.36081
OFOXIQ,Ag,3,[Ag],N#CC(=N[N]c1ccc(N(=O)=O)cc1)C#N,3,3,[Ag],N#CC(=N[N]c1ccc(N(=O)=O)cc1)C#N,0,0,0,0,3.39519,4.24258,4.24258
WOZPIM,Cu,4,[Cu],S(CC)c1n[nH]nn1,4,4,[Cu],S(CC)c1n[nH]nn1,0,0,0,0,0.96991,1.4595,1.4595
VEJPIL,Mn,8,[Mn]12(O[C]O1)O[C]O2,n1c[nH]c(c1)/C=C/C1=CC=[C]C=C1,4,2,[Mn],n1c[nH]c(c1)/C=C/c1ccc(C(=O)[O])cc1,1,0.0838,451.608,190.623,4.70275,6.27025,6.27025
GIRPAA,V,6,[V]1([O])(O[V@@](O[V]([O])([O])O[V@@](O[Co])([O])O1)([O])O[Co])[O],n1c(c2nc(cc(c2)c2ccccc2)c2nc(ccc2)C)cccc1C,6,3,[V]1([O])(O[V@@](O[V]([O])([O])O[V@@](O[Co])([O])O1)([O])O[Co])[O],n1c(c2nc(cc(c2)c2ccccc2)c2nc(ccc2)C)cccc1C,0,0,0,0,0.81928,2.07183,2.05527
IDUYEO,Zn,4,[Zn],N1=C[N]C=C1,4,2,[Zn],N1=C[N]C=C1,1,0.3216,3651.6,7579.97,9.50309,19.75689,19.51544
HIXZUM,Co,7,[Co]1(ON([O])O1)ON(=O)=O,n1ccc(cc1)N(Cc1ccccc1)c1ccncc1,3,2,[Co]1(ON([O])O1)ON(=O)=O,n1ccc(cc1)N(Cc1ccccc1)c1ccncc1,1,0.2016,694.917,607.947,5.94981,7.81048,7.5981
ARONEC,Cu,5,[Cu](I)[Cu].I[Cu][Cu],c1nncn1c1ccc(C(=O)O)cc1,8,2,[Cu](I)[Cu].I[Cu][Cu],c1nncn1c1ccc(C(=O)O)cc1,1,0.3026,261.279,623.454,11.04365,11.20982,11.20982
ZOVSUB,Pb,5,[Pb](O[C]=O)O[C]=O.[Pb](O[Pb]O[C]=O)O[C].[C]=O.[Pb](O[C]=O)[O].[Pb][O].O=[C][O].O=[C]O[Pb]O[C]=O.O=[C].[C]=O.[O][C]=O.[O],N1=CC=N[C]=[C]1,18,3,[Pb],[O]C(=O)c1c(C(=O)[O])nccn1,0,0,0,0,0.66038,2.49677,2.33938
DULVUE,Ni,6,[Ni](O)O,N#C[C]([C](OCC[CH2])[C](C#N)C#N)C#N,6,3,[Ni],N#C[C]([C](OCCCO)[C](C#N)C#N)C#N,0,0,0,0,0.97906,2.27667,2.27667
QIHMUS,Bi,5,[Bi](O[C]O[Bi](O[C]=O)O[C]=O)O[C]=O.[O][C]=O.[O][C]=O,[C]1=N[C]=C[C]=C1,8,4,[Bi],O=C(c1cc(cc(C(=O)[O])n1)C(=O)[O])[O],0,0,0,0,3.17819,4.86904,4.86904
VUSJUP,Zn,4,[Zn]12O[C]O[Zn@@]34O[C]O[Zn@@](O3)(O[C]O[Zn](O[C]O4)O[C]O1)O[C]O2,[C]1=CC=[C]C=C1,6,2,[Zn].O([Zn])[Zn].[Zn],O=C(c1ccc(cc1)C(=O)[O])[O],1,0.3906,1820.57,3276.26,7.9635,14.8106,14.8106
WUKBEJ04,Cu,6,[Cu][Cu](Cl)Cl,n1cccc2ccc3c(c12)nccc3,2,2,[Cu][Cu](Cl)Cl,n1cccc2ccc3c(c12)nccc3,1,0.7804,176.027,1896.41,29.90452,30.07867,30.07867
EDUHES,Cu,4,[Cu],n1cn(CCCCCn2cncc2)cc1,4,2,[Cu],n1cn(CCCCCn2cncc2)cc1,1,0.0206,79.145,18.1595,4.20578,5.19999,5.19999
DOSHID,Zn,4,[Zn]12(O[C]O[Zn](O[C]O1)O[C]O2)O[C]=O,[C]1=C(C(=[C]C(=C1C)C)C)C,4,2,[Zn],[O]C(=O)c1c(C)c(C)c(c(C)c1C)C(=O)[O],0,0,0,0,1.31923,2.56851,2.56851
PEJNID,Zr,6,[Zr]1(O[C]=O)(OP2O[Zr]3(OP(O[Zr](F)(F)(O[C]=O)(OP([O])O1)O2)O[Zr](F)(O[P]O3)(O[C][O])F)(O[C][O])(F)F)([O])(F)F,[C]1=CC=CN([CH]1)C[CH2],12,3,[Zr](F)F,[O]C(=O)C1=CC=CN([CH]1)CCP(=O)([O])[O],1,0.2596,319.512,590.388,7.38595,8.35669,8.31174
CITTUW,Zn,5,[Zn]1O[C]O[Zn](O[C]=O)(O[C]=O)O[C]O1.O.[OH].[H],[C]1=CC=C(C=C1)C(=O)C1=CC=[C]C=C1,4,2,[Zn].O,[O]C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)C(=O)[O],0,0,0,0,1.00986,1.63557,1.63557
LIHRAW,Zn,4,Br[Zn],N1=CN=C[N]1,3,3,Br[Zn],N1=CN=C[N]1,0,0,0,0,1.01102,2.35767,1.31292
AFIXES,Co,4,[Co],N1=C[N]C=C1,4,2,[Co],N1=C[N]C=C1,2,0.06,617.847,341.758,4.46013,6.46635,6.46635
IHUXOB,Zn,4,[Zn]12O[C]O[Zn]3O[C]O[Zn@@]4(O[Zn@@](O[C]O3)(O[C]O1)O[C]O4)O[C]O2,[C]1=CC=[C]C=C1,6,2,[Zn].O([Zn])[Zn].[Zn],O=C(c1ccc(C(=O)[O])cc1)[O],1,0.3922,2780.51,5051.63,7.86367,14.25847,13.16842
GEGGEG,Co,6,[Co]123O[C]O[Co](O[C]O1)(O[C]O[Co]14O[C]O[Co](O[C]=O)(O[C]O2)(O1)O[C]O4)(O3)O[C]=O.O.O.O.O,[C]1=[C]C=CC(=C1)C1=C[C]=[C]C=C1,8,4,[Co]O[Co].O([Co])[Co].O.O.O.O,[O]C(=O)c1c(C(=O)[O])ccc(c1)c1ccc(C(=O)[O])c(c1)C(=O)[O],0,0,0,0,1.45162,4.13206,4.13201
ATEWON,Rb,5,O.[Rb][O].[O].[O].[O],[C]1[N@]2[C@H]3N4CN5[C@H]6N(C(=O)N7CN8C(=O)N9CN%10C(=O)N%11CN%12C(=O)N%13C[N@]%14[C][N@@]%15C[N@]1[C@@H]3N(C4=O)CN1[C@H]%15[C@H]%14N(C1=O)CN1[C@@H]%13[C@@H]%12N(C1=O)C[N@]1[C@H]%11[C@H]%10[N@]([C]1)C[N@@]1[C][N@@]([C@@H]8[C@@H]91)CN([C@@H]67)C5=O)C2,4,4,O.[Rb],O=C1N2[C@H]3N4CN5[C@H]6N(C(=O)N7CN8C(=O)N9CN%10C(=O)N%11CN%12C(=O)N%13CN%14C(=O)N%15CN1[C@@H]3N(C4=O)CN1[C@H]%15[C@H]%14N(C1=O)CN1[C@@H]%13[C@@H]%12N(C1=O)CN1[C@H]%11[C@H]%10N(C1=O)CN1C(=O)N([C@@H]8[C@@H]91)CN([C@@H]67)C5=O)C2,1,0.4268,1164.46,3018.51,11.69116,14.52372,14.1843
JIQXUD,Co,8,[Co](ON(=O)=O)ON(=O)=O,n1ccc(cc1)Cn1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)Cc1ccncc1,6,2,[Co](ON(=O)=O)ON(=O)=O,n1ccc(cc1)Cn1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)Cc1ccncc1,1,0.196,612.864,535.072,5.64766,7.19947,7.1351
KEWMEG,Zn,4,[Zn](ON(=O)=O)ON(=O)=O,n1c2ccccc2n(c1)CCCCn1cnc2c1cccc2,2,2,[Zn](ON(=O)=O)ON(=O)=O,n1c2ccccc2n(c1)CCCCn1cnc2c1cccc2,1,0.1338,529.395,305.195,5.04254,7.49256,6.53972
COHJEP,Cd,6,[Cd](O[C]=O)O[C]=O,C1=C(C=[C]C(=N1)C1=NC(=O)[C@](C)(C(C)C)[N]1)CC,6,3,[Cd],c1nc(C2=NC(=O)[C@](C)(C(C)C)[N]2)c(C(=O)[O])cc1CC,0,0,0,0,1.19402,2.51901,2.51901
NOWPEX02,Cd,8,[Cd]12(O[C]O1)O[C]O2,[C]1=CC=C(C=C1)n1c(C)ncc1,4,2,[Cd],O=C([O])c1ccc(cc1)n1c(C)ncc1,2,0.035,183.233,100.154,4.62248,6.27815,6.27815
TERNUC,Zn,4,I[Zn]I,n1ccc(C2=[N]=C(N=C([N]2)c2ccncc2)c2ccncc2)cc1,2,3,I[Zn]I,n1ccc(C2=[N]=C(N=C([N]2)c2ccncc2)c2ccncc2)cc1,1,0.4054,3843.56,6690.17,7.70398,11.84914,11.55687
GEDTAL,Y,12,[Y]12(O[C]O[Y](O[C]O2)(O[C]=O)(O[C]=O)(O[C])O[C]O1)[O],[C](=C)C,6,1,[Y][Y],C(=O)(C(=C)C)[O],1,0.1392,284.269,198.967,7.13368,7.79611,7.79611
REDZAD,Pb,6,[Pb]([O])(O[C]=O)([O])O[C]=O.O=[C][O].[Pb](O[C]=O)([O])[O].[Pb]([O])([O])(O[C]=O)O[C]=O,[C]1[NH](C=CC=[C]1)Cc1c(C)c(C[NH]2C=CC=[C][C]2)c(c(C[NH]2[C][C]=CC=C2)c1C)C,12,6,[Pb],O=C1[NH](C=CC=C1C(=O)[O])Cc1c(C)c(C[NH]2C=CC=C(C2=O)C(=O)[O])c(c(C[NH]2C(=O)C(=CC=C2)C(=O)[O])c1C)C,0,0,0,0,1.30772,3.43554,3.34909
UBINUQ,Mn,7,[Mn]12(O[C]O1)O[C]O[Mn]1(O[C]O1)O[C]O2.O.O,[C]1=C[C]=CC(=C1)/C=C/c1ccncc1,6,3,[Mn].O,[O]C(=O)c1cc(cc(c1)C(=O)[O])/C=C/c1ccncc1,1,0.014,51.7397,12.1909,4.15593,4.97759,4.97759
XACHOA,Cu,4,[Cu],n1ccc(cc1)c1ccncc1,4,2,[Cu],n1ccc(cc1)c1ccncc1,1,0.13,558.755,263.212,4.33576,6.58246,6.58246
AVESEA,Cd,6,[Cd]Cl.Cl[Cd].[Cd],N1=CN=C[N]1,12,3,[Cd]Cl.Cl[Cd].[Cd],N1=CN=C[N]1,0,0,0,0,1.55346,3.61259,2.87104
PURNEX,W,10,[W]12([O])([O])([O])O[W](O1)([O])([O])([O])O[W]1(O[W](O[Cu@]3(O[W]45(O[W](O[W]6(O[W](O6)([O])(O5)([O])[O])([O])([O])O[Cu]O[W]5678O[Si]O[W]9%10(O3)(O[W](O[W](O6)[O])(O5)(O[W](O9)[O])[O])O[W](O[W](O[W](O8)[O])([O])(O%10)O7)[O])([O])([O])([O])O4)([O])[O])O[W]345O[W@]6(O[Si]O[W@@]7(O[W]8(O[W](O6)([O])(O3)O[W](O8)[O])([O])O[W](O7)(O[W](O4)[O])(O5)[O])[O])[O])([O])(O2)(O1)[O])([O])([O])[O],n1cn(cc1)c1ccc(cc1)n1cncc1,4,2,[W]12([O])([O])([O])O[W](O1)([O])([O])([O])O[W]1(O[W](O[Cu@]3(O[W]45(O[W](O[W]6(O[W](O6)([O])(O5)([O])[O])([O])([O])O[Cu]O[W]5678O[Si]O[W]9%10(O3)(O[W](O[W](O6)[O])(O5)(O[W](O9)[O])[O])O[W](O[W](O[W](O8)[O])([O])(O%10)O7)[O])([O])([O])([O])O4)([O])[O])O[W]345O[W@]6(O[Si]O[W@@]7(O[W]8(O[W](O6)([O])(O3)O[W](O8)[O])([O])O[W](O7)(O[W](O4)[O])(O5)[O])[O])[O])([O])(O2)(O1)[O])([O])([O])[O],n1cn(cc1)c1ccc(cc1)n1cncc1,0,0,0,0,3.09016,4.60653,4.60653
QOYJOG,Cu,6,[Cu]([O])[O],n1cc(ccc1)[N][CH]C1=CC=CC(=[C]1)OC,6,3,[Cu],n1cc(ccc1)[N][CH]c1c([O])c(ccc1)OC,1,0.146,216.873,160.343,6.3692,7.24195,7.24195
TEXNUF,Ni,6,[Ni]O[C]O[Ni]O[C]=O,N1C[CH]CNCCC[N@]2CC[N@@](CCC1)CC2,10,5,[Ni],[O]C(=O)[C@@H]1CNCCC[N@]2CC[N@@](CCCNC1)CC2,1,0.2392,384.725,434.211,8.27204,9.14669,9.14669
QEWYEZ,Cu,6,[Cu]1234O[C]O[Cu]1(O[C]O2)(O[C]O3)O[C]O4.O.O,[C]1=CC=C(C=C1)N1[CH]N(CC1)C1=CC=[C]C=C1,4,2,[Cu][Cu].O.O,[O]C(=O)c1ccc(N2CCN(c3ccc(C(=O)[O])cc3)[CH]2)cc1,1,0.1926,873.468,735.869,5.87305,7.51762,7.42617
QARQIM,Cu,6,I[Cu]([Cu]([Cu]I)I)[Cu]I,n1ccc(cc1)SCc1c(C)c(CSc2ccncc2)c(c(c1C)CSc1ccncc1)C,6,3,I[Cu]([Cu]([Cu]I)I)[Cu]I,n1ccc(cc1)SCc1c(C)c(CSc2ccncc2)c(c(c1C)CSc1ccncc1)C,1,0.0538,198.94,109.89,4.05359,6.51441,6.51441
PABXIC,Mn,7,[Mn]1O[Mo@@](O[Mo]2([O])(O[Mo]([O])(O[Mo](O[Mn])(O[Mo]([O])[O])(O[Mo@](O2)([O])O1)[O])[O])[O])(O[Mo]1(O[Mo](O1)([O])([O])[O])([O])[O])[O],n1ccc(cc1)c1nc(c2ccncc2)cc(c2ccncc2)c1,8,2,[Mn]1O[Mo@@](O[Mo]2([O])(O[Mo]([O])(O[Mo](O[Mn])(O[Mo]([O])[O])(O[Mo@](O2)([O])O1)[O])[O])[O])(O[Mo]1(O[Mo](O1)([O])([O])[O])([O])[O])[O],n1ccc(cc1)c1nc(c2ccncc2)cc(c2ccncc2)c1,0,0,0,0,1.075,2.00771,1.70372
DAKZEW,Cu,4,[Cu]([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,n1ccc(c2ccncc2)cc1,2,2,[Cu]([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,n1ccc(c2ccncc2)cc1,1,0.0886,460.009,256.87,4.85762,6.38899,6.38899
OJANAP,Ag,6,[Ag@]1([Ag@](O[C]O1)([O])O[C])([O])ON(=O)=O.[N]([O])[O],[CH2]N1C=CN[CH]1,2,1,[Ag]([Ag][O])ON(=O)=O.[N]([O])[O],[O]C(=O)CN1C=CN[CH]1,1,0.1724,137.372,142.375,6.78958,6.94726,6.94726
VEDJIA,Sn,5,[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,S=C([S])OCc1ccncc1,2,2,[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,S=C([S])OCc1ccncc1,1,0.2448,376.52,561.085,7.74387,8.83496,8.83496
KIPJEA,U,7,[U]([O])(O[C])(O[C]O[U]([O])([O])(O[C])([O])[O])(O[C])([O])[O].O.O,[C]1=CC(=CC=[C]1)C(C1=CC=[C][C]=C1)(C(F)(F)F)C(F)(F)F,4,4,[U]([O])[O].O,O=C([O])c1c(C(=O)[O])ccc(C(c2ccc(C(=O)[O])c(C(=O)[O])c2)(C(F)(F)F)C(F)(F)F)c1,0,0,0,0,2.07534,2.73391,2.73391
XEGSEK,Co,8,[Co]1(O[C]O[Mn]2(O[C]O[Co]3(O[C]O[Mn]4(O[C]O[Co]5(O[C]O[Mn](O[C]O5)O[C])O[C]O4)O[C]O3)O[C]O2)O[C]O1)([O])O[C]=O,[C]1=CC=C(C(C(F)(F)F)(C(F)(F)F)C2=CC=[C]C=C2)C=C1,12,2,[Co].[Mn].[Co].[Mn].[Co].[Mn],[O]C(=O)c1ccc(C(c2ccc(C(=O)[O])cc2)(C(F)(F)F)C(F)(F)F)cc1,1,0.006,109.415,35.2223,5.09179,5.35199,5.35199
TADJOA,Ca,9,[Ca]([O])O[C]=O.O=[C][O].[Ca]O[C]=O.O.O.O=[C].O.O.O.O,[CH2]Oc1c(Cl)cc(cc1Cl)Cl,4,1,[Ca].O.O.O,[O]C(=O)COc1c(Cl)cc(cc1Cl)Cl,0,0,0,0,2.00659,2.67846,2.67846
PAQCOZ,Ag,4,[Ag],c1(ccc(C(=O)Oc2cc(ccc2)C#N)cc1)C#N,4,2,[Ag],c1(ccc(C(=O)Oc2cc(ccc2)C#N)cc1)C#N,1,0.0604,589.62,183.512,4.53936,5.93063,5.93063
OSOGOU,Hg,4,[Hg](Br)Br,c1ncc(/C=N/c2cccc3c(/N=C/c4cccnc4)cccc23)cc1,2,2,[Hg](Br)Br,c1ncc(/C=N/c2cccc3c(/N=C/c4cccnc4)cccc23)cc1,0,0,0,0,1.26589,1.90101,1.57379
PEXSIW,Nd,9,O.[Nd]([O])([O])[O].O.O.O.O.O,[C]1[N@@]2C[N@@]3[C@@H]4N5C(=O)N6[C@@H]4[N@]([C]3)CN3C(=O)N4CN7C(=O)N8C[N@@]9[C][N@@]%10CN%11C(=O)N%12CN%13C(=O)N%14C[N@]1[C@@H]1[N@]([C][N@@](C5)[C@H]21)CN1[C@H]%14[C@H]%13N(CN2[C@H]%12[C@H]%11N(C[N@]5[C@H]%10[C@H]9[N@@](C[N@]9[C][N@@]([C@@H]7[C@@H]89)CN7[C@H]4[C@H]3N(C7=O)C6)[C]5)C2=O)C1=O,3,6,O.[Nd].O.O.O.O.O,O=C1N2CN3[C@@H]4N5C(=O)N6[C@@H]4N(C3=O)CN3C(=O)N4CN7C(=O)N8CN9C(=O)N%10CN%11C(=O)N%12CN%13C(=O)N%14CN1[C@@H]1N(C(=O)N(C5)[C@H]21)CN1[C@H]%14[C@H]%13N(CN2[C@H]%12[C@H]%11N(CN5[C@H]%10[C@H]9N(CN9C(=O)N([C@@H]7[C@@H]89)CN7[C@H]4[C@H]3N(C7=O)C6)C5=O)C2=O)C1=O,1,0.0464,542.442,227.62,3.7883,7.10787,7.10787
GAFRAI,Pb,6,[Pb][O].[O][CH2].[CH][C]O[Pb].[H].[O].[Pb].[O]C(=O)COCC(=O)O[Pb][O].[Pb][O].O=[C][O].[O][C]=O.[Pb](O[C]COC[C]=O)O[C]=O.[O].[C](=O)COC[C]=O.[O].O=[C][O].[C]=O,[CH2]O[CH2],20,2,[Pb],O(CC(=O)[O])CC(=O)[O],0,0,0,0,0.96757,2.95526,2.52233
SETPEO,In,5,[In](Cl)(Cl)Cl,n1ccc(cc1)C1=[N]=C(c2ccncc2)N=C(c2ccncc2)[N]1,2,3,[In](Cl)(Cl)Cl,n1ccc(cc1)C1=[N]=C(c2ccncc2)N=C(c2ccncc2)[N]1,1,0.5116,2234.14,5511.65,8.2529,17.60609,17.60609
QOFDAS,Ag,3,[Ag],n1ccc(cc1)C1=[N]=C(c2ccncc2)N=C(c2ccncc2)[N]1,3,3,[Ag],n1ccc(cc1)C1=[N]=C(c2ccncc2)N=C(c2ccncc2)[N]1,1,0.5632,1520.23,4751.58,9.98232,13.11269,12.8093
HATMOH,Cu,6,[Cu]1([Cu@]2(I)[Cu](I)[Cu@@]12I)I,S=c1n(ccn1Cn1ccn(c1=S)Cc1ccccc1)Cc1ccccc1,4,2,[Cu]1([Cu@]2(I)[Cu](I)[Cu@@]12I)I,S=c1n(ccn1Cn1ccn(c1=S)Cc1ccccc1)Cc1ccccc1,0,0,0,0,0.93617,1.8113,1.8113
JIWSAK,Sm,13,[C]1O[Sm](O[C]=O)([O])(O[C])O1.[C](=O)O[Sm]1(O[C]O1)(O[C])[O].O.O.O.O,c1(ccncc1)S[CH2],6,1,[Sm][Sm].O.O.O.O,c1(ccncc1)SCC(=O)[O],0,0,0,0,0.92564,2.48349,2.15138
BOKFIR,Cu,6,[Cu](O[C]=O)(O[C]=O)(O[C]=O)O[C]=O,[C]1=C[CH]N(CCCN2[CH]C=[C]C=C2)C=C1,4,2,[Cu],O=C([O])C1=C[CH]N(CCCN2[CH]C=C(C(=O)[O])C=C2)C=C1,0,0,0,0,1.53322,3.85468,3.80064
GUPCOK07,Cd,4,[Cd],N1=C([N]C=C1)CC,4,2,[Cd],N1=C([N]C=C1)CC,0,0,0,0,1.08415,2.36717,2.36717
HAWWIO02,Cu,5,[Cu]([Cu]I)I,c1cnccn1,4,2,[Cu]([Cu]I)I,c1cnccn1,0,0,0,0,1.46169,2.34504,2.34504
IPECEL07,Cd,6,[Cd](I)I,n1ccc(cc1)c1ccncc1,2,2,[Cd](I)I,n1ccc(cc1)c1ccncc1,1,0.2438,112.701,158.502,7.3211,8.19435,8.19435
SAQYIT01,Zn,4,[Zn@@]1(OP([O])O[Zn](OP(O1)[O])[O])(OP(=O)=O)O[P][O],[CH2][NH]1CC[NH](CC1)[CH2],8,4,[Zn],[O]P(=O)(C[NH]1CC[NH](CC1)CP(=O)([O])[O])[O],0,0,0,0,2.18655,3.3474,3.3474
GOSSEM,Ni,6,[Ni](ON(=O)=O)ON(=O)=O,n1ccc(cc1)c1ccncc1,4,2,[Ni](ON(=O)=O)ON(=O)=O,n1ccc(cc1)c1ccncc1,1,0.4638,826.801,1898.03,9.31084,13.04399,12.33617
NOMQAJ,Zn,5,[Zn]([O])([O])(O[C]=O)O[C]O[Zn].[C]=O.O=[C],[C]1=CC=C(C=C1)c1cc(C2=CC=[C]C=C2)cnc1,6,3,[Zn],O=C(c1ccc(cc1)c1cc(c2ccc(C(=O)[O])cc2)cnc1)[O],2,0.009,92.5546,17.834,3.1586,4.74137,4.74137
GEKHUA,Ag,7,[Ag][Ag]1ON([O])O1.O([C]=O)[Ag]1234[Ag]56([Ag]7[Ag]85([Ag]59([Ag]%101([Ag]25([C@@]3%10[C@@]678)[O])O[N]O[Ag]12([Ag]35([Ag]6[C@]3([C]1[Ag]2)[Ag@@]56[O])O[C]=O)O[C])ON([O])O9)[O])(O[N]O4)O[C]=O.O=N(=O)[O].O=N(=O)[O],[C]1=CN=CC=N1,12,3,[Ag]12[C@@]34[C@]56[Ag]7[Ag]5([Ag]13([Ag]24([O])O[N][O])[O])([Ag@]67ON=O)[O].[Ag].[O].[Ag][C][Ag].[Ag][C].[Ag][Ag]ON(=O)=O.[N]O[Ag][Ag].O=N(=O)[O].[O].[N]=O.[O],[O]C(=O)c1nccnc1,0,0,0,0,0.76648,1.60227,1.59125
BEPTUM01,Mn,6,[C](=O)O[Mn](O[C]=O)O[C]O[Mn]O[C]=O.[Mn](O[C]=O)(O[C])[O].O([C]=O)[Mn]([O])O[C],N1=[C]C=CC=C1,16,2,[Mn],C(=O)(c1ncccc1)[O],0,0,0,0,0.88467,1.60918,1.57688
OSAXOW01,Li,7,[C](=O)O[Li].[Li]O[C]=O.[Li].O([Li])[C]=O.[O].[C]=O,[CH2]CC,4,1,[Li][Li].[Li].[Li],C(=O)([O])CCC,0,0,0,0,1.61639,2.48629,2.48629
SOHGUS,Co,4,[Co],N1=CC(=C[N]1)c1ccc(C2=CN=N[CH]2)cc1,4,4,[Co],N1=CC(=C[N]1)c1ccc(C2=CN=N[CH]2)cc1,2,0.2312,820.694,1133.59,7.91323,9.4247,9.4247
HEDSAL,Au,5,[Au@@]12(=C3N([C]4N([Ag]1N1[C](/N=C/[CH])C=CC=C1)C=CC=C4)C=CN3C)[Ag@@]1([Au](/[C]=N\C)[C]3N(C=CN3[C]3C=CC=CN13)C)N1[C](N3[C]2N(C=C3)C)C=CC=C1,N#Cc1ccccc1,10,1,[Au@@]12(=C3N([C]4N([Ag]1N1[C](/N=C/[CH])C=CC=C1)C=CC=C4)C=CN3C)[Ag@@]1([Au](/[C]=N\C)[C]3N(C=CN3[C]3C=CC=CN13)C)N1[C](N3[C]2N(C=C3)C)C=CC=C1,N#Cc1ccccc1,1,0.0132,159.036,24.2558,4.21911,4.75073,4.75073
